Ab;Nom;A;Z;ColMod;Grp;Radio;Ligne
H;Hydrogène;1;1;1;NM;;1
He;Hélium;4;2;8;GN;;1
Li;Lithium;7;3;1;MA;;2
Be;Béryllium;9;4;2;MAT;;2
B;Bore;11;5;3;SM;;2
C;Carbone;12;6;4;NM;;2
N;Azote;14;7;5;NM;;2
O;Oxygène;16;8;6;NM;;2
F;Fluor;19;9;7;H;;2
Ne;Néon;20;10;8;GN;;2
Na;Sodium;23;11;1;MA;;3
Mg;Magnésium;24;12;2;MAT;;3
Al;Aluminium;27;13;3;MP;;3
Si;Silicium;28;14;4;SM;;3
P;Phosphore;31;15;5;NM;;3
S;Soufre;32;16;6;NM;;3
Cl;Chlore;35;17;7;H;;3
Ar;Argon;40;18;8;GN;;3
K;Potassium;39;19;1;MA;;4
Ca;Calcium;40;20;2;MAT;;4
Ga;Gallium;70;31;3;MP;;4
Ge;Germanium;73;32;4;SM;;4
As;Arsenic;75;33;5;SM;;4
Se;Sélénium;79;34;6;NM;;4
Br;Brome;80;35;7;H;;4
Kr;Krypton;84;36;8;GN;;4
Rb;Rubidium;85;37;1;MA;;5
Sr;Strontium;88;38;2;MAT;;5
In;Indium;115;49;3;MP;;5
Sn;Étain;119;50;4;MP;;5
Sb;Antimoine;122;51;5;SM;;5
Te;Tellure;128;52;6;SM;;5
I;Iode;127;53;7;H;;5
Xe;Xénon;131;54;8;GN;;5
Cs;Césium;133;55;1;MA;;6
Ba;Baryum;137;56;2;MAT;;6
Tl;Thallium;204;81;3;MP;;6
Pb;Plomb;207;82;4;MP;;6
Bi;Bismuth;209;83;5;MP;;6
Po;Polonium;209;84;6;MP;R;6
At;Astate;210;85;7;SM;R;6
Rn;Radon;222;86;8;GN;R;6
Fr;Francium;223;87;1;MA;R;7
Ra;Radium;226;88;2;MAT;R;7
Nh;Nihonium;286;113;3;MP;R;7
Fl;Flérovium;289;114;4;MP;R;7
Mc;Moscovium;289;115;5;MP;R;7
Lv;Livermorium;293;116;6;MP;R;7
Ts;Tennesse;294;117;7;SM;R;7
Og;Oganesson;294;118;8;SM;R;7
